<Hash=0xB412CAF>	One of us... One of us...
<Hash=0xC49DF695>	Meow. Someone's ready to scratch.
<Hash=0xC69DF9BB>	I don't know ghoul, it all feels a little sharp to me.
<Hash=0x10149586>	This is not my color.
<Hash=0xCD61B5C>	Such a hair-raising task, she means. But if anyone is up to the challenge, I'm sure it's <name>.
<Hash=0xA20D2C97>	Wow... now that's one fiery personality.
<Hash=0x9F0D27DE>	I guess we'll give you ghouls some time alone.
<Hash=0x8D61510>	Well Skelita? We're ready... Are you?
<Hash=0x17D62CAD>	The trim reminds me of a gnarly ball of yarn. I can't believe I'm saying this but... I kind of like it.
<Hash=0x280B629>	I'm so glad all of this nonsense is over.
<Hash=0xF9E7AB0C>	Deuce has to owe someone a favor. Who can we get to convince him to join the team?
<Hash=0x83EAC2E1>	Good luck, kitten. You'll need it in that kitchen.
<Hash=0x8703B24C>	Where are we going to come up with those?
<Hash=0x4B3DEF77>	One of us here damaged that dress, and I'm not afraid to scratch around until we find out who it was.
<Hash=0x4D3DF29D>	Well, I was here this morning and saw the dress intact. That means, whatever happened to it occurred during Lunch.
<Hash=0x463DE798>	<name>	is here to dig up the real dirt and figure this out.
<Hash=0x483DEABE>	She's not a Fashion Club member, she can tell who's being a conniving kitty.
<Hash=0x433DE2DF>	I was in the level 2 hallway with Toralei and Meowlody, like we do every day.
<Hash=0xCC278215>	Nice try, kitten.
<Hash=0xB9455866>	What happened?
<Hash=0x939F9C62>	Skelita's dress has been shredded. Know anything about it, Jinafire?
<Hash=0xBA431B62>	Looks like someone needs to be a little more scareful around the merchandise...
<Hash=0xBE4321AE>	The beast part of all of this? It wasn't my fault this time.
<Hash=0x59B83CFB>	The runway is calling...
<Hash=0x68B3A13A>	What if I told you that Scorchio Fearmani is using the Slomix for his next show.
<Hash=0x5DB38FE9>	And Scorchio paid him a ton of money. Lucky for us, we can use it for free.
<Hash=0x76C7FDF>	I could really use a cat nap after all of this.
<Hash=0x708CB65E>	Excellent! Now hurry, go get changed!
<Hash=0x43DD27B1>	You want to borrow <robotname>? No, see it doesn't work like that. <robotname>	has a mind of its own. If you want its help, you'll just have to ask.
<Hash=0x45DD2AD7>	<name>	wants to know if you could help down in the kitchen.
<Hash=0x47DD2DFD>	Well, aren't you a lucky ghoul?
<Hash=0xA67781C2>	OK so then we connect the blue wire to the transistor...
<Hash=0x218FF6>	We need 3 of these brass cogs to make the legs work. Will you find them?
<Hash=0xBFD07AA3>	Great! Come back when you've got them and we'll make the legs work.
<Hash=0xC0D07C36>	Oh, I understand. Come back if you change your mind.
<Hash=0xFF218E63>	You managed to find the cogs? That's wonderful!
<Hash=0x52197D5>	Now we can put them in and get these legs walking!
<Hash=0x221931C>	We'll need to hook up the circuitry though. Catty, want to do it?
<Hash=0x8219C8E>	Alright... <name>, you're up!
<Hash=0x9219E21>	Hah! Look at that, the legs work!
<Hash=0x991EAF3A>	Thanks <name>. You're welcome back to the Robotics club anytime you'd like.
<Hash=0xA4777E9C>	Hi! Do you have an interest in robotics?
<Hash=0xD916C535>	That's great! We could always use an extra pair of hands to help out.
<Hash=0xD616C07C>	That's a shame, but maybe I can convince you that Robots are creepy-cool.
<Hash=0xAE778E5A>	Not as hard as you think, Clawd. But we're missing some important parts right now. Actually, <name>! You can help us find the parts!
<Hash=0x2D4FCBD3>	Welcome back, <name>. We were just talking about arms and elbows.
<Hash=0xA1A822E5>	You're a life saver <name>. Thank you!
<Hash=0x9EA81E2C>	I guess you're busy. Come back when you're not. We could use your help.
<Hash=0x359DF333>	You found the wires! Now we can make those arms work!
<Hash=0x349DF1A0>	Everyone gather round. <name>	is going to show us how to connect the circuits. Just like last time, <name>.
<Hash=0x3A9DFB12>	Fangtastic, <name>. I'll finish up with this part. Come back tomorrow and help us build more.
<Hash=0x2F4FCEF9>	Sure! But something like that is more than just engineering.
<Hash=0x314FD21F>	Well, the arms could make the movements, but the Robot needs to know what the movements are.
<Hash=0x334FD545>	Exactly! Once it has power and memory we can teach it anything. But we're getting ahead of ourselves, right now we need...
<Hash=0x344FD6D8>	Oh rivets, we're out of copper wire!
<Hash=0x7431FFE>	Sure fearly is. Thanks <name>! You really came through for us. We just need to hook up the circuitry.
<Hash=0x9432324>	Such a well-oiled mind!
<Hash=0xC4327DD>	That's exactly right, Catty. OK everyone, that's it for now. We'll meet up again tomorrow and talk about how Robots learn!
<Hash=0x51EBDBB1>	Yeah, they're kinda hard to come by. All robots need them, but active robots use them to pep themselves up.
<Hash=0x53EBDED7>	Errr... Sort of. Anyway, this is why they're hard to come by.
<Hash=0x55EBE1FD>	Not a chance. We're kinda stuck at this point until we find some power cells. Fortunately for us, <name>. has been pretty resourceful.
<Hash=0x54EBE06A>	What do you say, <name>? Will you help us find the power cells?
<Hash=0xA62EFF93>	Clawsome! Come back when you've got them. Thanks <name>.
<Hash=0xA72F0126>	Deary me, we may have to give up on the robot. Let me know if you change your mind.
<Hash=0xD66384C9>	We almost have everything in place for our Robot.
<Hash=0x79AA5721>	Let's get these chips hooked up. You know what to do, <name>.
<Hash=0x78AA558E>	And we're done!
<Hash=0x7CAA5BDA>	It's a new Robot. It doesn't understand us just yet, but it will.
<Hash=0x6EAA45D0>	That's right. It has the mind of a newborn child, only faster.
<Hash=0xE7A2B586>	It'll take a while before the Robot understands things. Come check it out tomorrow after it's had a night to develop.
<Hash=0xD9638982>	Not yet, Heath. The Robot doesn't remember anything, so it needs memory chips.
<Hash=0xD763865C>	Yeah, but we don't have enough. We'll need a few more.
<Hash=0xD86387EF>	<name>, I remember seeing some memory chips in the classrooms around the school. Would you get them for us?
<Hash=0x16BD4300>	Fangtastic! Once we have them, the Robot will begin to learn things.
<Hash=0xB66BE9E7>	Oh, we're missing one last piece of the puzzle. A robot core, but they're really hard to find.
<Hash=0xB16BE208>	With that core, <robotname>	will be able to move just like us.
<Hash=0xB26BE39B>	<name>, you've already done so much, but could you find the Robot Core?
<Hash=0xCDD1BF7C>	Excellent! Bring it back here when you find it!
<Hash=0xD0D1C435>	Oh you must be busy. That's OK. Let me know when you're free.
<Hash=0x783BF95B>	It's alright, Robot. This is a friend. Hey, <name>. We're just having a chat with our Robot friend here.
<Hash=0xB169A371>	You found the core! <robotname>, did you hear that?
<Hash=0xAF69A04B>	Yeah... mine too. OK, <name>, let's hook it up just like we've done before.
<Hash=0xA96996D9>	You're a free robot now, <robotname>.
<Hash=0xAC675CFB>	Just come see me if you need any maintenance, and hey... maybe you could do the same for me some time.
<Hash=0xB16764DA>	Thank you, <name>. We're definitely all getting A's for this project... and we all made a couple of new friends. Fangtastic job, everyone.
<Hash=0x7B3BFE14>	Good question! We hadn't thought of a name. <name>, you collected most of the parts, how about you name it?
<Hash=0x78580095>	That's a riveting name! <robotname>	it is!
<Hash=0x7557FBDC>	Well then how about you choose your own name, Robot?
<Hash=0x81FBA771>	Ask what?
<Hash=0x83FBAA97>	<name>	gave me life. I'll do whatever I can to help. I'll go. See you in the kitchen.
<Hash=0x77FB97B3>	Food prepared. Can I be of any further service?
<Hash=0x836DEB5E>	Hello <name>	This is my first Fashion Show.
<Hash=0x856DEE84>	It would be this robot's scream come true.
<Hash=0xEA3A80C7>	Bzzzzt. Geeeeeeee.
<Hash=0x5741E823>	F----as-----ter
<Hash=0xE46DC3E3>	MONSTER ALERT!
<Hash=0xFBFE1511>	I liked it when the Catty called me the Amazing. Can this be my name?
<Hash=0x69CB4203>	Why can't I dance like the Catty says?
<Hash=0x6FCB4B75>	Calculating...
<Hash=0x6ECB49E2>	There is a spare Robot Core in the Mad Science room.
<Hash=0x72CD8EC5>	My chips are trembling with excitement.
<Hash=0x70CD8B9F>	I ... feel.... different.
<Hash=0x7ACD9B5D>	Free... to what?
<Hash=0xF9D0A1E1>	Of course I will. You... you made me be... it's the least I could do.
<Hash=0xFBD0A507>	<name>... You gave me life... Thank you. I will always be your friend.
<Hash=0xE76DC89C>	1872. My turn for a question. What is <name>?
<Hash=0xE96DCBC2>	What is my name?
<Hash=0x814CA21A>	Ello, eez there someone out there? I am stuck inside zee crypt! All I remember eez looking at those stone gargoyles out there and then this door opened up! Zee last color I remember seeing was Green.
<Hash=0x6A3C7A1>	Wait, I think I remember that zee first color I looked at was Yellow! Look at zee yellow gargoyle first!
<Hash=0x3A3C2E8>	Hm, let's think... The first eez Yellow, and the last eez Green. But what goes in between?
<Hash=0x804EDF1E>	Thank you... Oh, you look just like zee hero! What eez your name?
<Hash=0x7E4EDBF8>	Merci boo-coup, <heroname>! You saved moi!
<Hash=0xCE33BCD8>	Oh, that's easy! The first thing that needs to be done is to repair the Casketball Scoreboard. I'll tell you, as Head of Student Safety I've been complaining about that thing for ages! One of these days it'll fall onto the Fearleading Team - then maybe someone will do something about it!!!
<Hash=0x611CB384>	Things might be changing around Monster High. A Student Council that actually listens to the students - Fangtastic!!!
<Hash=0xF2CA8741>	Wait... we are talking about zee giant carnivorous plant, no?
<Hash=0xF0CA841B>	Sounds quite dangerous to have something like this at school. Is there any... how do you say... danger, to zee students?
<Hash=0xEECA80F5>	Oh I will be sure to put it in zee paper, but I am definitely writing my own story on this.
<Hash=0x74FC9546>	Oh, sure, I'll print your article in zee paper. Just give me a copy of it and I'll make sure it's published immediatement!
<Hash=0x693D05EB>	Bonjour, Venus! What are you doing here?
<Hash=0x4AA1C85D>	Ah bon?! I do not know what you are talking about Venus.
<Hash=0xB5A92C93>	Oui, that is big of you, ghoul. But please do not ever use that pollen on me again. I would like to keep my memories right where they are.
<Hash=0x596C8B70>	Well you look fun! Of course I'd love to read the comic book club's book once it's finished! My ghoulfriends will get a kick out of this.
<Hash=0x14C6BBDA>	Not really, I find it more rude than anything else.
<Hash=0xEA0CB798>	Mi abuela always says to step back and let cooler heads prevail... Wait... Hola? Were you listening to us just now?
<Hash=0x770A2D0D>	Perfecto! You can help us decide!
<Hash=0x740A2854>	OK, well while you're here, can we get your opinion on something.
<Hash=0xED0CBC51>	Which one of these colors do you think is the hottest color this season?
<Hash=0xF00CC10A>	Jinafire, it's alright! Let us both make a dress? I'll make one in <player chosen color>, and you make one in <non-chosen color>.
<Hash=0xE20CAB00>	Let the Fashion Games begin! Thank you for your input <name>.
<Hash=0xE30CAC93>	The beast part about Jinafire is that her heart is always in the right place.
<Hash=0x74179117>	And my suggestion?
<Hash=0x25DA955D>	Mi madre. I love my whole family, but this color always reminds me of her.
<Hash=0x1ADA840C>	Please don't take it personally, Jinafire. You worked so hard and it really does show.
<Hash=0x14D3BED5>	<name>, would you talk to Jinafire? Her passhion makes her just a little sensitive about her work.
<Hash=0xDD3B3D0>	Jinafire has so much energy to give.
<Hash=0x3EB12057>	Flattery won't work here, Purrsephone.
<Hash=0x3AB11A0B>	Si, but we have one problem. We forgot the models.
<Hash=0x737EDE1>	Fashion Club just isn't the same without you there.
<Hash=0x9634FD67>	Jinafire and I have been beasties a long time. I'm just glad she's feeling better about the whole thing.
<Hash=0xBE28C190>	Hey Jinafire...
<Hash=0x3E80B5AD>	What if we ask the Cooking Club?
<Hash=0x889BEA6B>	Could you ask Deuce for the Cooking Club's help?
<Hash=0xF49ED306>	I'm trying to think of a backup plan, just in case the Cooking Club says no.
<Hash=0x1DDF5646>	We want everyone to feel comfortable, like a family at home.
<Hash=0xC27A9CA4>	<sob>... Who could have done this!?
<Hash=0x4C0C1D04>	Um, first I was reading News Feed when Jinafire asked to hang out. We ended up in the Foyer just chatting.
<Hash=0x260A06F8>	Why would I ruin my own dress!?
<Hash=0x480C16B8>	<gasp>	Marisol, no!
<Hash=0xC47A9FCA>	It's ruined! <sob>	My dress is ruined!
<Hash=0x4709D68E>	Why didn't you just say something?
<Hash=0x4509D368>	Not if it was an accident, like you say... But I'm going to have to work my fingers to the bone to fix it.
<Hash=0x4C09DE6D>	We don't have much time, if we're going to fix this, we better get started.
<Hash=0x4909D9B4>	There's no point staying upset. She apologized and that's what's important.
<Hash=0xBE7A9658>	The show... it's over!
<Hash=0xBA7A900C>	The show is tomorrow!
<Hash=0x5C73EEBB>	Shouldn't we ask him first?
<Hash=0x5E73F1E1>	Maybe, but we should find out.
<Hash=0xF38F3250>	Hm... I'm with Jinafire on this one... Slomix is a nice song... but for a runway?
<Hash=0xCA6C4D20>	Slomix is going to be a great song for the runway. I'll have to say thank you to Holt for letting us use it.
<Hash=0xFA8F3D55>	Wha!? The 'Scorchio'?
<Hash=0x9967AD2E>	I don't believe this...
<Hash=0x943579A2>	My dress looked fangtastic up there!
<Hash=0x96333E31>	Your dress looked awesome too, Jinafire. The last touches you put on it really pushed it to the next level.
<Hash=0x94333B0B>	We really do! <name>, this would have been a terror without your help.
<Hash=0x9A33447D>	Now that the show is over, I'm going to start working on a Verdant dress. This one will pull inspiration from mi padre.
<Hash=0x9767AA08>	We forgot to get a ghoul to model our clothes!!
<Hash=0x9C67B1E7>	Wait... what about our model from the other day? Come on, <name>, will you do it?
<Hash=0xC1247758>	We couldn't have done it without you, <name>.
<Hash=0xC4247C11>	Oh no... We're ruined! What are we going to do!?
<Hash=0xFCFE4E9B>	Yeah, it's just disrespectful.
<Hash=0x35C38531>	GROOOOAANN (Hm? Operetta wants a zombie tutor? I can help, but you know what they say... if you're good at something then you never do it for free. I'm going to ask her for singing lessons in return. I've always pictured myself commanding a creepy-cool stage.)
<Hash=0x33C3820B>	GROOOAAANN!! (She said it is defrightful to have you with us.)
<Hash=0x38C389EA>	GROOOAAANN!! (Of course. She is giving me singing lessons out of this.)
<Hash=0x2DC37899>	GROOOOAANNN!!! (<groan>)
<Hash=0x39B1820>	GRROOAAAANN!! (Hello, Venus. How can the Newspaper Club help you today?)
<Hash=0x129B2FBD>	GRROOOAAANN!! (Thank you for telling us, Venus. It takes a strong ghoul to admit when she's done something wrong.)
<Hash=0x198D663>	GRROOOAAANN!! (They sound like good friends.)
<Hash=0x53E79BFE>	GROOOAAANN!! (Hello <name>! I can't thank you enough for getting me singing lessons with Operetta. She's a great teacher! I've improved a lot. Let me show you.)
<Hash=0xB499FB4D>	GRROOOAAAANNNNN!!!
<Hash=0x52E79A6B>	GROAAANNN!! (So what did you think? Pretty good right. Anyway, thanks again.)
<Hash=0xD7DDF8FA>	Yes, oh exultant one! I have personally been assisting Queen Cleo in isolating students and then converting them to our cause. Currently, approximately a third of the students at Monster High have been cursed and are under Spookenkhamun's control. By the end of the week, it will be almost over!
<Hash=0xA3F9245F>	You heard her everyone! Let's go!!!
<Hash=0xC370D065>	Who's in there? I can't see who it is. How am I supposed to tell people about this? The comic book club looks like they're having some spooktacular fun with this.
<Hash=0x24954BBF>	Angel food cake!
<Hash=0x98D0F0D>	It's great to see ya again. I'm glad you decided to join the Student Council. I look forward to working with you on some of our projects. I've got a good feeling about this year.
<Hash=0x33CE9630>	(whispered) One of us... One of us... Toralei is gonna be, One of us... One of us... One of us... She's on the Bus... One of us... In Sphinx we trust... One of us... One of us... One of us... The Amulet bites... One of us... One of us...
<Hash=0xA8E111F5>	So what do we do now!? I want hot tub, I want hot tub, I want hot tub! Ugh... feeling woozy!
<Hash=0xB456F4F7>	Oh! Oh! Oh!
<Hash=0xB256F1D1>	Sphinxy tells Spectra to keep extra Treasure... It's destiny for Council build big hot tub or maybe big Pyramid in Pool. We earn lots o bubbles, no troubles... Spend 'em Ra-Ra on precious hooooot tuuuub and Pyyyrrraaammiidddss, Abbey make 'em happen!!!
<Hash=0x4B07607E>	Sticking up flyers around the school - cool! It's the perfect opportunity to eavesdrop on some juicy news for my blog.
<Hash=0xBF176374>	Yeah! I'm over the Sphinx!
<Hash=0xBC175EBB>	Hoook'em, Spoook'em, Pyramid Head! Better stop the Curse, or we'll wind up Dead. Ra! Ra! Rescue Team-Ghoul for the School. Only A-newbie-yes, can save us all!!!
<Hash=0xBA175B95>	Ummm... yeah. Good idea... Sure, I'm OK, why do you ask?
<Hash=0x484B63F9>	Gimme that money!!! The Lords of the Nile demand that only she who is chosen by the Sphinx herself, may handle the Treasure of Kings...
<Hash=0x5AA93836>	Come on, hand it over quickly... the Master demands it!
<Hash=0x59A936A3>	Ooooohh... you're gonna pay for that! The Sphinx never forgets, you'll be sorry!!!
<Hash=0x42EFA8CC>	Can I have one of the cookies? They look sooo good, and they smell die-lish! Mmmmmmmmm, taaassstttyyy!!!
<Hash=0x40EFA5A6>	Sooorrrrryyyyyy!!!
<Hash=0x3EEFA280>	Can I have a cookie? Pleeeaaassseee!!!
<Hash=0x4D8B8FBC>	NO!!! I have to do it, I am the chosen one! The Sphinx told me to protect the Treasure of Kings. It's my destiny! The New Ghoul can't be trusted, give me the money... I'll take it! I'll look after it!
<Hash=0x508B9475>	What's up ghouls? Why's everyone staring at me like that? I didn't do something weird did I? That would be embarrassing...
<Hash=0xF4036E5A>	I want to protect the Treasure. Pleeeaaase let me handle the Money. I'll guard it with my life!!!
<Hash=0xF4123765>	Me too, me too!!! The Master demands it. Must have cookies!
<Hash=0xF11232AC>	Sooorrrrryyyyyy!!!
<Hash=0xC76A6DD7>	Hey there, you must be the New Ghoul, Bloodgood told me all about you. It's really great to meet you, it'll be fun showing you around while I scope out all the latest news around Monster High. My first piece of advice is to join at least one of the many Clubs at Monster High. It's a great way to meet new people with similar interests and get more involved with what's happening at the school. For instance, it looks like you've got something going on in the style department. With that sorta passion for fashion, you could be a big hit in the Fashion Club. Do you think you might be interested?
<Hash=0x96862570>	Not your thing? No probs, there is a bunch of other clubs on Campus. Everything from a Cooking Club and Robotics Club to the Comic Book Club. The two most popular clubs are the Student Council - of which I'm a member - and the Fearleading Squad. If you tried out for either of these, I think you'd fit right in...
<Hash=0x99862A29>	Well, there is a bunch of other clubs on Campus. Everything from Robotics and Cooking to the Comic Book Club which Ghoulia runs. The two most popular clubs at Monster High are the Student Council - of which I'm a member - and the Fearleading Squad. If you tried out for either of these, I think you'd really enjoy it!
<Hash=0xC36A678B>	It's my pleasure... Now my second piece of advice is that you can never have too many friends, and I've got a couple of people in mind, for you to meet. Would you like to join and meet a few of my friends?
<Hash=0xC16A6465>	Awww... come on, it'll be a real blast! You guys will get along like a house on fire - in a good way, that is! I'm sure you'll hit it off straight away. It's not far, what've you got to lose?
<Hash=0xC2682761>	My friends are just over there...
<Hash=0xC16825CE>	Hey Draculaura, this is the New Ghoul. I was telling her all about you and the Fearleaders. I thought you ghouls should hook up. Do you think you could keep her company, while I get some research done for my blog? She seems quite interested in joining the Fearleading Team, so you should have a lot to talk about.
<Hash=0x8F31B623>	Sorry, did you say something? What's going on? I was on my way to the bathroom... then everything went all fuzzy. What am I doing here? Why's there an alarm blaring? I need to get outta here!!!
<Hash=0x9DDDFBCF>	(cough, cough, cough) Urgh!!!

IT IS I, KING SPOOKENKHAMUN!!! I WELCOME YOU MY SUBJECTS, ON THIS, THE MOST MOMENTOUS OF DAYS! FOR THE FIRST TIME, MY POWERS HAVE ALLOWED ME TO SPEAK WITH YOU DIRECTLY, THROUGH THIS FELINE VESSEL, A SACRED SISTER OF THE SPHINX. BUT, I SHALL KEEP THINGS SHORT. TODAY WE SPEAK OF HOW TO BRING THE REMAINING STUDENTS INTO THE FOLD, AND MY PLANS TO TAKE OVER AS THE NEW HEADMASTER AT MONSTER HIGH. TODAY THE SCHOOL, TOMORROW THE WORLD!!!
<Hash=0xA3DE0541>	THE PLAN IS SIMPLE... WE WILL STAGE A MASS CURSING DURING THE FEARLEADING MONSTER NATIONALS. THIS IS ONE OF THE BIGGEST EVENTS OF THE SCHOOL YEAR, SO EVERYONE WILL BE THERE. ALL IN ONE PLACE, NO LESS! IT'S ALMOST TOO GOOD TO BE TRUE!!!

WHEN OUR FAVE CURSED FEARLEADING TEAM LED BY QUEEN CLEO, DEMOLISH THEIR OPPONENTS AND WIN THE TOURNAMENT, WE WILL MAKE OUR MOVE! WHILE THE ADORING CROWD CHEERS, TOTALLY DISTRACTED BY WHAT IS GOING ON, WE WILL LOCK THE GYM DOORS TRAPPING THEM INSIDE.

THEN MY CURSED SUBJECTS, YOU WILL SUBDUE ANY OF THE UNINFECTED STUDENTS, WHILE CLEO CURSES THEM ONE-BY-ONE, USING MY MYSTICAL AMULET! IT WILL BE LIKE SHOOTING FISH IN A BARREL, ONLY FAR MORE SATISFYING!!!

THIS IS THE PLAN... NOW MAKE IT SO!!!
<Hash=0x2FDB59D7>	BACK AGAIN... IT'S YOUR HOST WITH THE MOST, KING "SPOOK'EM" SPOOKENKHAMUN!!! I'D LIKE YOU ALL TO GIVE IT UP FOR MONSTER HIGH'S VERY OWN FEARLEADERS, QUEEN CLEO & THE CURSED ONES!!!
<Hash=0x3A4E81EC>	NNNNOOOOOOOOO!!!!!!
<Hash=0x31DB5CFD>	WOW!!! JUST LOOK AT THAT SCORE... 10! 9! 10! AMAAAZING! THEY'RE A SMASH! LET'S TAKE A LOOK AT THE SCOREBOARD TO CHECK OUT THE CURRENT LEADER IN THE COMPETITION... AND YES, I'M HAPPY TO SAY IT'S CLEO & THE CURSED ONES!
<Hash=0x2BDB538B>	WAIT A MINUTE! THERE IS A LATE SURPRISE ENTRY TO THE COMPETITION... IT'S THE LAST TEAM OF THE DAY AND THEY'RE THE ONLY THING STANDING BETWEEN CLEO & THE CURSED ONES AND THE MONSTER NATIONAL TROPHY!

INCREDIBLY, IT'S ANOTHER FEARLEADING TEAM FROM MONSTER HIGH, SO WITHOUT FURTHER ADO, I'D LIKE YOU TO GIVE A BIG ROUND OF APPLAUSE FOR 'THE A-NILE-8-ORS'!!!
<Hash=0x24687DED>	Your story will display this passage first. Edit it by double clicking it.
<Hash=0x23687C5A>	Some more text.
<Hash=0x22687AC7>	Even more text.
<Hash=0x67C0CC7D>	This meeting of the Cursed Council is now in session. There are no un-cursed students present, so please speak freely. It won't be long now, before all the students are... One of us... One of us... One of us...
<Hash=0x63C0C631>	Silence!!! In the name of the great King Spookenkhamun, I demand it! Now, onto the business at hand... Spectra, Catrine, have all the arrangements been made?
<Hash=0x61C0C30B>	Excellent! Our master will be pleased! Catrine, has the message been sent throughout the student body? We must be sure that all the cursed students will be there for the Spookenkhamun rally. There the master will channel himself through me and speak to his loyal subjects directly...
<Hash=0x5FC0BFE5>	Good! Good! Once the plan is set in motion, the un-cursed at Monster High won't know what has hit them, until it's too late. By that time, our master Spookenkhamun will already have control of the school! At lunch my friends... At lunch the fuse will be lit with Spookenkhamun's rallying call and we will be truly unstoppable! Now go, this meeting is adjourned!
<Hash=0xD8BB3040>	Whoah!!! That was weird... OK, LISTEN UP EVERYONE! You've all heard what our master, King Spookenkhamun has ordered. It is time to put these plans into motion. Each of you knows the role you will play in the overall scheme. Go now, do what you must and we will all reign victorious under Spookenkhamun's rule!!!
<Hash=0xA0DA0CC9>	The winners of the Fearleading Monster Nationals with an amazing perfect score are THE A-NILE-8-ORS. Take a bow ghouls, you did it!
<Hash=0xDFAD9077>	It's a nomination that's well deserved... (whispered) and it'll keep anyone suspicious about how I became Prez, off my back... (normal) So, let's take it to a vote.
<Hash=0xE0AD920A>	All those in favor of Lagoona in the position of Vice President, raise your hand.
<Hash=0xE1AD939D>	All those opposed... raise your hand.
<Hash=0x4433300D>	OK, that's 5 to 1 in favor. The motion is passed. Clawsome! Now onto the next order of business. What should be our first Council project? Suggestions anyone?
<Hash=0x41332B54>	OK, that's 4 to 2 in favor. The motion is passed. Great! Now onto the next order of business. What should be our first Council project? Suggestions anyone?
<Hash=0xDDAD8D51>	OH, COME ON!!! It's not like there aren't tons of great ideas, we just need one or two to get the ball rolling? I say we sleep on it. Everyone put on your thinking caps and we'll re-convene tomorrow MORNING. See you all tomorrow. Meeting adjourned!
<Hash=0xAAB9591>	Welcome to the Student Council. I hope you're ready to do some good things at Monster High, if not, it's probably time to leave...
<Hash=0x3CFA2267>	OK... That's enough jabbering! Everyone, take your seats. This meeting of the Student Council is in session...
<Hash=0x3BFA20D4>	Now, to the first order of business. The role of Vice President is up for election again. We need to decide which member of the Council should take on the role. As Prez, I'd like to put forward Lagoona as my right-hand-ghoul...
<Hash=0xDBCCAB95>	Uggh Ruuur... Pyramid sauce!
<Hash=0xDACCAA02>	Urrrgghh!!!! Not feeling well... My head feels like it's gonna explode! Urp!!! OOOhhhh... this 'aint good. OK! Look ghouls, I feel like death warmed up. <laughs>... Urp! Yep! Need some Pyramid pie and a good 'ol cat-nap... Noooooooo!!! By Sphinx, not going to be able to do this today... Urgh! Let's reschedule for tomorrow. I'd better crash out before I start to puke fur balls!!!
<Hash=0xD5F39997>	Good morning everyone, I'm really sorry about yesterday. All of my planets musta been outta alignment and Horus was screeching in my ear. KA-KA, KA-KA, KA-KA, KA-KA!!! Man it gave me the heebie-jeebs. So, what was I saying? Oh, yeah... you're probably wondering how the Snake Sale went. Gotta love those cookie cats. Ummmm, yeah... So to cover all that stuff, better than I ever could, is our Count-skull treasure-roar Abbey the gabby!!!
<Hash=0x717ADB99>	ENOUGH!!! I am Student Disembodied President and what I say goes! This Queen of the Council decrees we're keeping the extra treasure and using it to build a hot tub... maybe even a Pyramid in the pool... or whatever else I want, do not test my patience!
<Hash=0x6F7AD873>	Vote, sh-moat... boat, coat... Hmmm... moat... we could use one of those if the students ever rise up against the Council!!! Note to self. Build moat...
<Hash=0x7D7AEE7D>	Oh, very well then! If that is what it will take to silence you do-gooders, then ye shall have it! All those in favor of Pyramid Hats and Scarab Flavoured Ice Cream raise your hand.
<Hash=0x7B7D29EE>	Ah! Yes! All those in favor of keeping the extra fundraising Money so the Council can build a hot tub, Moat, Pyramid or anything else we want, raise your hand...
<Hash=0x7C7D2B81>	All those opposed...
<Hash=0x797D26C8>	That's 3 in Favor, 3 against. It's a tie! Well, I hope you're all happy now. That didn't achieve anything. We're right back where we started - sheesh!
<Hash=0x7F7D303A>	OK then, we'll postpone the vote until the next Council meeting. Hopefully - the Sphinx willing - someone will come to their senses and we'll get this sorted!
<Hash=0x7D7D2D14>	YES! YES! YES! By her majesty's pet Asp, do I have to do everything around here?! Take the funds for the Casketball Court to Bloodgood. Give the extra Treasure to Catrine and Spectra to protect. Blah, blah, blah...get it, gone! Meeting adjourned! Please leave!!!
<Hash=0xD3F39671>	Hey, that's not a such bad idea! Haven't us Pharaohs... er... Council members, earned ourselves a bit of a treat? I mean, we're the ones who worked like weredogs. Posting flyers around the school. Pushing those huge stone blocks. Selling cookies. Building pyramids... Why not keep the extra cash and spend it on ourselves?
<Hash=0xCDF38CFF>	Why? It's not like anyone can stop us!
<Hash=0x83C4C3F5>	All in favor of removing the New Ghoul and Lagoona from the Council, raise your hands.
<Hash=0xF6BB51EA>	All those opposed...
<Hash=0xF5BB5057>	That's 6 in favour, 0 against. A unanimous decision, that's what I like to see! HAIL TO THE KING, KITTY! WE WIN!!! See ya, see ya, wouldn't wanna be ya... New Ghoul. Lagoona. You must now leave the Council, your privileges have been revoked!
<Hash=0x7EC4BC16>	That's 5 in favor, 1 against. A landslide!!! WE WIN! See ya later alligator... New Ghoul. Lagoona. You can leave now. Your Council privileges have been revoked!
<Hash=0x2D7BB7D3>	Sit down, ghouls... Let's get this over with quickly. Meeting of the Pharaoh's... er Council is in session. Picking up from where we left off at yesterday's meeting, we need to vote on what to do with the extra treasure!
<Hash=0x327BBFB2>	Let's not waste time here!!! I have far more important things to do like feed the Sphinx. Meeting in session. Blah, blah-deddy, blah, blah... time to vote!!!
<Hash=0x307BBC8C>	All in favor of keeping the treasure for ourselves, building a hot tub, putting a Pyramid in the Pool, taking over the school and doing whatever else we feel like, raise your hand...
<Hash=0x377BC791>	All those opposed...
<Hash=0x367BC5FE>	That's 4 in favor, 2 against. It's a landslide!!! WE WIN! Hot tub, here we come... Next order of business... Removal of troublesome members of the Student Council!
<Hash=0x80E1781>	Hey! Alright everyone, take your seats. It's time to get started.
